Title,Author,Link,Bookshelf
Storm Over Warlock,Andre Norton,http://www.gutenberg.org/ebooks/20788,Science
The Colors of Space,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/20796,Science
Star Hunter,Andre Norton,http://www.gutenberg.org/ebooks/19090,Science
Star Born,Andre Norton,http://www.gutenberg.org/ebooks/18458,Science
Black Amazon of Mars,Leigh Brackett,http://www.gutenberg.org/ebooks/32664,Science
Key Out of Time,Andre Norton,http://www.gutenberg.org/ebooks/19651,Science
The Defiant Agents,Andre Norton,http://www.gutenberg.org/ebooks/25550,Science
Voodoo Planet,Andre Norton,http://www.gutenberg.org/ebooks/18846,Science
"Astounding Stories of Super-Science, December 1930",Various,http://www.gutenberg.org/ebooks/30691,Science
The Planet Savers,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/31619,Science
Frankenstein,Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/6542,Science
A World is Born,Leigh Brackett,http://www.gutenberg.org/ebooks/22544,Science
The Gifts of Asti,Andre Norton,http://www.gutenberg.org/ebooks/19029,Science
Year of the Big Thaw,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/28650,Science
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/84,Precursors
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/43,Precursors
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/42324,Precursors
A Connecticut Yankee in King Arthur's Court,Mark Twain,http://www.gutenberg.org/ebooks/86,Precursors
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/42,Precursors
The Last Man,Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/18247,Precursors
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/41445,Precursors
Lucian's True History,of Samosata Lucian,http://www.gutenberg.org/ebooks/45858,Precursors
The Coming Race,Baron Edward Bulwer Lytton Lytton,http://www.gutenberg.org/ebooks/1951,Precursors
"After London; Or, Wild England",Richard Jefferies,http://www.gutenberg.org/ebooks/13944,Precursors
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/20038,Precursors
The Diamond Lens,Fitz James O'Brien,http://www.gutenberg.org/ebooks/23169,Precursors
Le Vingtième Siècle: La Vie Électrique,Albert Robida,http://www.gutenberg.org/ebooks/35103,Precursors
A Crystal Age,W. H. Hudson,http://www.gutenberg.org/ebooks/7401,Precursors
Frankenstein,Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/6542,Precursors
"Λουκιανός - Άπαντα, Τόμος Τρίτος",of Samosata Lucian,http://www.gutenberg.org/ebooks/28018,Precursors
Trips to the Moon,of Samosata Lucian,http://www.gutenberg.org/ebooks/10430,Precursors
The Electric Man,Charles Hannan,http://www.gutenberg.org/ebooks/61142,Precursors
The Works of Lucian of Samosata — Volume 02,of Samosata Lucian,http://www.gutenberg.org/ebooks/6585,Precursors
Micromégas,Voltaire,http://www.gutenberg.org/ebooks/4649,Precursors
"A Connecticut Yankee in King Arthur's Court, Part 1.",Mark Twain,http://www.gutenberg.org/ebooks/7242,Precursors
"A Connecticut Yankee in King Arthur's Court, Part 4.",Mark Twain,http://www.gutenberg.org/ebooks/7245,Precursors
"Hartmann, the Anarchist; Or, The Doom of the Great City",E. Douglas Fawcett,http://www.gutenberg.org/ebooks/57323,Precursors
A Connecticut Yankee in King Arthur's Court,Mark Twain,http://www.gutenberg.org/ebooks/19506,Precursors
The Dominion in 1983,Ralph Centennius,http://www.gutenberg.org/ebooks/4290,Precursors
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/43,Horror
Metamorphosis,Franz Kafka,http://www.gutenberg.org/ebooks/5200,Horror
Dracula,Bram Stoker,http://www.gutenberg.org/ebooks/345,Horror
The Turn of the Screw,Henry James,http://www.gutenberg.org/ebooks/209,Horror
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2148,Horror
An Occurrence at Owl Creek Bridge,Ambrose Bierce,http://www.gutenberg.org/ebooks/375,Horror
Carmilla,Joseph Sheridan Le Fanu,http://www.gutenberg.org/ebooks/10007,Horror
The King in Yellow,Robert W. Chambers,http://www.gutenberg.org/ebooks/8492,Horror
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2147,Horror
The Trial,Franz Kafka,http://www.gutenberg.org/ebooks/7849,Horror
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/42,Horror
The Vampyre; a Tale,John William Polidori,http://www.gutenberg.org/ebooks/6087,Horror
Ghost Stories of an Antiquary,M. R. James,http://www.gutenberg.org/ebooks/8486,Horror
The Wendigo,Algernon Blackwood,http://www.gutenberg.org/ebooks/10897,Horror
The Great God Pan,Arthur Machen,http://www.gutenberg.org/ebooks/389,Horror
The Willows,Algernon Blackwood,http://www.gutenberg.org/ebooks/11438,Horror
The Works of Edgar Allan Poe — Volume 5,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2151,Horror
The Works of Edgar Allan Poe — Volume 3,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2149,Horror
The House of Souls,Arthur Machen,http://www.gutenberg.org/ebooks/25016,Horror
The House on the Borderland,William Hope Hodgson,http://www.gutenberg.org/ebooks/10002,Horror
The Shunned House,H. P. Lovecraft,http://www.gutenberg.org/ebooks/31469,Horror
"Varney the Vampire; Or, the Feast of Blood",Prest and Rymer,http://www.gutenberg.org/ebooks/14833,Horror
Dracula's Guest,Bram Stoker,http://www.gutenberg.org/ebooks/10150,Horror
The Night Land,William Hope Hodgson,http://www.gutenberg.org/ebooks/10662,Horror
The Works of Edgar Allan Poe — Volume 4,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2150,Horror
A Tale of Two Cities,Charles Dickens,http://www.gutenberg.org/ebooks/98,Historical
War and Peace,graf Leo Tolstoy,http://www.gutenberg.org/ebooks/2600,Historical
Treasure Island,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/120,Historical
Les Misérables,Victor Hugo,http://www.gutenberg.org/ebooks/135,Historical
Middlemarch,George Eliot,http://www.gutenberg.org/ebooks/145,Historical
The Prince and the Pauper,Mark Twain,http://www.gutenberg.org/ebooks/1837,Historical
The Three Musketeers,Alexandre Dumas,http://www.gutenberg.org/ebooks/1257,Historical
The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,http://www.gutenberg.org/ebooks/940,Historical
Ivanhoe: A Romance,Walter Scott,http://www.gutenberg.org/ebooks/82,Historical
Kidnapped,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/421,Historical
The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,http://www.gutenberg.org/ebooks/73,Historical
Vanity Fair,William Makepeace Thackeray,http://www.gutenberg.org/ebooks/599,Historical
"Sybil, Or, The Two Nations",Earl of Beaconsfield Benjamin Disraeli,http://www.gutenberg.org/ebooks/3760,Historical
Adam Bede,George Eliot,http://www.gutenberg.org/ebooks/507,Historical
"The History of Mary Prince, a West Indian Slave",Mary Prince,http://www.gutenberg.org/ebooks/17851,Historical
The White Company,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/903,Historical
Personal Recollections of Joan of Arc — Volume 1,Mark Twain,http://www.gutenberg.org/ebooks/2874,Historical
Ben-Hur: A tale of the Christ,Lew Wallace,http://www.gutenberg.org/ebooks/2145,Historical
"Waverley; Or, 'Tis Sixty Years Since",Walter Scott,http://www.gutenberg.org/ebooks/5998,Historical
Barnaby Rudge: A Tale of the Riots of 'Eighty,Charles Dickens,http://www.gutenberg.org/ebooks/917,Historical
Les trois mousquetaires,Alexandre Dumas,http://www.gutenberg.org/ebooks/13951,Historical
Quo Vadis: A Narrative of the Time of Nero,Henryk Sienkiewicz,http://www.gutenberg.org/ebooks/2853,Historical
Rob Roy — Complete,Walter Scott,http://www.gutenberg.org/ebooks/7025,Historical
Shirley,Charlotte Brontë,http://www.gutenberg.org/ebooks/30486,Historical
Twenty Years After,Alexandre Dumas,http://www.gutenberg.org/ebooks/1259,Historical
Anthem,Ayn Rand,http://www.gutenberg.org/ebooks/1250,Science
The War of the Worlds,H. G. Wells,http://www.gutenberg.org/ebooks/36,Science
The Time Machine,H. G. Wells,http://www.gutenberg.org/ebooks/35,Science
2 B R 0 2 B,Kurt Vonnegut,http://www.gutenberg.org/ebooks/21279,Science
Twenty Thousand Leagues under the Sea,Jules Verne,http://www.gutenberg.org/ebooks/164,Science
The Island of Doctor Moreau,H. G. Wells,http://www.gutenberg.org/ebooks/159,Science
A Princess of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/62,Science
A Journey to the Centre of the Earth,Jules Verne,http://www.gutenberg.org/ebooks/18857,Science
The Lost World,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/139,Science
Flatland: A Romance of Many Dimensions (Illustrated),Edwin Abbott Abbott,http://www.gutenberg.org/ebooks/201,Science
"Looking Backward, 2000 to 1887",Edward Bellamy,http://www.gutenberg.org/ebooks/624,Science
The Mysterious Island,Jules Verne,http://www.gutenberg.org/ebooks/1268,Science
The Eyes Have It,Philip K. Dick,http://www.gutenberg.org/ebooks/31516,Science
The Dunwich Horror,H. P. Lovecraft,http://www.gutenberg.org/ebooks/50133,Science
The Hanging Stranger,Philip K. Dick,http://www.gutenberg.org/ebooks/41562,Science
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Verne,http://www.gutenberg.org/ebooks/2488,Science
Second Variety,Philip K. Dick,http://www.gutenberg.org/ebooks/32032,Science
The Marching Morons,C. M. Kornbluth,http://www.gutenberg.org/ebooks/51233,Science
"The Door in the Wall, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/456,Science
Youth,Isaac Asimov,http://www.gutenberg.org/ebooks/31547,Science
The House on the Borderland,William Hope Hodgson,http://www.gutenberg.org/ebooks/10002,Science
The Shunned House,H. P. Lovecraft,http://www.gutenberg.org/ebooks/31469,Science
"The Country of the Blind, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/11870,Science
John Jones's Dollar,Harry Stephen Keeler,http://www.gutenberg.org/ebooks/26867,Science
"From the Earth to the Moon; and, Round the Moon",Jules Verne,http://www.gutenberg.org/ebooks/83,Science
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/84,Gothic
The Picture of Dorian Gray,Oscar Wilde,http://www.gutenberg.org/ebooks/174,Gothic
The Yellow Wallpaper,Charlotte Perkins Gilman,http://www.gutenberg.org/ebooks/1952,Gothic
Dracula,Bram Stoker,http://www.gutenberg.org/ebooks/345,Gothic
Wuthering Heights,Emily Brontë,http://www.gutenberg.org/ebooks/768,Gothic
The Turn of the Screw,Henry James,http://www.gutenberg.org/ebooks/209,Gothic
Northanger Abbey,Jane Austen,http://www.gutenberg.org/ebooks/121,Gothic
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2148,Gothic
Carmilla,Joseph Sheridan Le Fanu,http://www.gutenberg.org/ebooks/10007,Gothic
"Mosses from an Old Manse, and Other Stories",Nathaniel Hawthorne,http://www.gutenberg.org/ebooks/512,Gothic
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/42,Gothic
The Castle of Otranto,Horace Walpole,http://www.gutenberg.org/ebooks/696,Gothic
The Monkey's Paw,W. W. Jacobs,http://www.gutenberg.org/ebooks/12122,Gothic
The Phantom of the Opera,Gaston Leroux,http://www.gutenberg.org/ebooks/175,Gothic
The Vampyre; a Tale,John William Polidori,http://www.gutenberg.org/ebooks/6087,Gothic
The Mysteries of Udolpho,Ann Ward Radcliffe,http://www.gutenberg.org/ebooks/3268,Gothic
Confessions of an English Opium-Eater,Thomas De Quincey,http://www.gutenberg.org/ebooks/2040,Gothic
The Monk: A Romance,M. G. Lewis,http://www.gutenberg.org/ebooks/601,Gothic
"Caleb Williams; Or, Things as They Are",William Godwin,http://www.gutenberg.org/ebooks/11323,Gothic
Le Horla,Guy de Maupassant,http://www.gutenberg.org/ebooks/10775,Gothic
"Wieland; Or, The Transformation: An American Tale",Charles Brockden Brown,http://www.gutenberg.org/ebooks/792,Gothic
The Lair of the White Worm,Bram Stoker,http://www.gutenberg.org/ebooks/1188,Gothic
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,http://www.gutenberg.org/ebooks/2276,Gothic
Nightmare Abbey,Thomas Love Peacock,http://www.gutenberg.org/ebooks/9909,Gothic
The Lock and Key Library: Classic Mystery and Detective Stories: Old Time,,http://www.gutenberg.org/ebooks/1831,Gothic
"The Brochure Series of Architectural Illustration, Vol. 01, No. 11, November,",,http://www.gutenberg.org/ebooks/15020,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 10, October",,http://www.gutenberg.org/ebooks/14987,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 09 1895",Various,http://www.gutenberg.org/ebooks/25735,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 01, January 1895",,http://www.gutenberg.org/ebooks/13489,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 02, February",,http://www.gutenberg.org/ebooks/15091,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 05, May 1895",,http://www.gutenberg.org/ebooks/19364,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 08, August 1895",,http://www.gutenberg.org/ebooks/19769,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 07, July, 1895",,http://www.gutenberg.org/ebooks/15270,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 03, March 1895",,http://www.gutenberg.org/ebooks/18852,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 12, December",,http://www.gutenberg.org/ebooks/24776,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 04, April 1895",,http://www.gutenberg.org/ebooks/19262,The
"The Brochure Series of Architectural Illustration, Vol. 01, No. 06, June 1895",,http://www.gutenberg.org/ebooks/19444,The
The Ten Books on Architecture,Vitruvius Pollio,http://www.gutenberg.org/ebooks/20239,Architecture
Rural Architecture,Lewis Falley Allen,http://www.gutenberg.org/ebooks/19998,Architecture
The Poetry of Architecture,John Ruskin,http://www.gutenberg.org/ebooks/17774,Architecture
"Lectures on Architecture and Painting, Delivered at Edinburgh in November 1853",,http://www.gutenberg.org/ebooks/23593,Architecture
A Manual of Historic Ornament,Richard Glazier,http://www.gutenberg.org/ebooks/53373,Architecture
Old St. Paul's Cathedral,William Benham,http://www.gutenberg.org/ebooks/16531,Architecture
"The Principles of Gothic Ecclesiastical Architecture, Elucidated",Question and,http://www.gutenberg.org/ebooks/19737,Architecture
Shakespearean Playhouses,Joseph Quincy Adams,http://www.gutenberg.org/ebooks/22397,Architecture
The Beautiful Necessity,Claude Fayette Bragdon,http://www.gutenberg.org/ebooks/12648,Architecture
"The Brochure Series of Architectural Illustration, Vol. 01, No. 11, November,",,http://www.gutenberg.org/ebooks/15020,Architecture
Bell's Cathedrals: The Abbey Church of Tewkesbury,H. J. L. J. Massé,http://www.gutenberg.org/ebooks/22260,Architecture
Architecture and Democracy,Claude Fayette Bragdon,http://www.gutenberg.org/ebooks/12625,Architecture
Ely Cathedral,Anonymous,http://www.gutenberg.org/ebooks/20924,Architecture
The Cathedral Church of Canterbury [2nd ed.],Hartley Withers,http://www.gutenberg.org/ebooks/22832,Architecture
Historical Sketch of the Cathedral of Strasburg,Anonymous,http://www.gutenberg.org/ebooks/22990,Architecture
The Cathedral Church of Peterborough,W. D. Sweeting,http://www.gutenberg.org/ebooks/13618,Architecture
Bell's Cathedrals: The Cathedral Church of Saint Albans,Rev. Thomas Perkins,http://www.gutenberg.org/ebooks/19494,Architecture
Scottish Cathedrals and Abbeys,Dugald Butler,http://www.gutenberg.org/ebooks/21688,Architecture
Bell's Cathedrals: The Cathedral Church of Durham,Joseph E. Bygate,http://www.gutenberg.org/ebooks/20191,Architecture
"The Brochure Series of Architectural Illustration, Vol. 01, No. 10, October",,http://www.gutenberg.org/ebooks/14987,Architecture
Bell's Cathedrals: The Cathedral Church of Winchester,Philip Walsingham Sergeant,http://www.gutenberg.org/ebooks/20346,Architecture
A Guide to Peterborough Cathedral,George S. Phillips,http://www.gutenberg.org/ebooks/20967,Architecture
Bell's Cathedrals: The Cathedral Church of York,A. Clutton-Brock,http://www.gutenberg.org/ebooks/19420,Architecture
Bell's Cathedrals: The Cathedral Church of Exeter,Percy Addleshaw,http://www.gutenberg.org/ebooks/19424,Architecture
Bell's Cathedrals: The Cathedral Church of Norwich,C. H. B. Quennell,http://www.gutenberg.org/ebooks/19715,Architecture
The Practice and Science of Drawing,Harold Speed,http://www.gutenberg.org/ebooks/14264,Art
The Notebooks of Leonardo Da Vinci — Complete,da Vinci Leonardo,http://www.gutenberg.org/ebooks/5000,Art
"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",,http://www.gutenberg.org/ebooks/24726,Art
A Text-Book of the History of Painting,John Charles Van Dyke,http://www.gutenberg.org/ebooks/18900,Art
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,http://www.gutenberg.org/ebooks/4028,Art
Masters of Water-Colour Painting,H. M. Cundall and C. Geoffrey Holme,http://www.gutenberg.org/ebooks/22379,Art
Seven Discourses on Art,Sir Joshua Reynolds,http://www.gutenberg.org/ebooks/2176,Art
"Lectures on Architecture and Painting, Delivered at Edinburgh in November 1853",,http://www.gutenberg.org/ebooks/23593,Art
Concerning the Spiritual in Art,Wassily Kandinsky,http://www.gutenberg.org/ebooks/5321,Art
Pictures Every Child Should Know,Mary Schell Hoke Bacon,http://www.gutenberg.org/ebooks/6932,Art
The Dance (by An Antiquary),Anonymous,http://www.gutenberg.org/ebooks/17289,Art
The History and Practice of the Art of Photography,Henry Hunt Snelling,http://www.gutenberg.org/ebooks/168,Art
Wood-Block Printing,F. Morley Fletcher,http://www.gutenberg.org/ebooks/20195,Art
Handbook on Japanning: 2nd Edition,William Norman Brown,http://www.gutenberg.org/ebooks/15622,Art
My First Picture Book,Joseph Martin Kronheim,http://www.gutenberg.org/ebooks/18937,Art
The Art of the Moving Picture,Vachel Lindsay,http://www.gutenberg.org/ebooks/13029,Art
The French Impressionists (1860-1900),Camille Mauclair,http://www.gutenberg.org/ebooks/14056,Art
The Florentine Painters of the Renaissance,Bernard Berenson,http://www.gutenberg.org/ebooks/17408,Art
Chinese Painters: A Critical Study,Raphaël Petrucci,http://www.gutenberg.org/ebooks/22288,Art
The Works of William Hogarth: In a Series of Engravings,John Trusler,http://www.gutenberg.org/ebooks/22500,Art
Lectures on Landscape,John Ruskin,http://www.gutenberg.org/ebooks/20019,Art
"Lectures on Art, Delivered Before the University of Oxford in Hilary Term, 1870",,http://www.gutenberg.org/ebooks/19164,Art
Bromide Printing and Enlarging,John A. Tennant,http://www.gutenberg.org/ebooks/24637,Art
Mosaics of Grecian History,Marcius Willson and Robert Pierpont Wilson,http://www.gutenberg.org/ebooks/6841,Art
Michelangelo,Estelle M. Hurll,http://www.gutenberg.org/ebooks/17212,Art
The Devil's Dictionary,Ambrose Bierce,http://www.gutenberg.org/ebooks/972,Reference
1811 Dictionary of the Vulgar Tongue,Francis Grose,http://www.gutenberg.org/ebooks/5402,Reference
"Encyclopaedia Britannica, 11th Edition, ""Andros, Sir Edmund"" to ""Anise""",Various,http://www.gutenberg.org/ebooks/13600,Reference
Encyclopedia of Needlework,Thérèse de Dillmont,http://www.gutenberg.org/ebooks/20776,Reference
Etiquette,Emily Post,http://www.gutenberg.org/ebooks/14314,Reference
Fifteen Thousand Useful Phrases,Grenville Kleiser,http://www.gutenberg.org/ebooks/18362,Reference
Roget's Thesaurus,Peter Mark Roget,http://www.gutenberg.org/ebooks/22,Reference
How To Write Special Feature Articles,Willard Grosvenor Bleyer,http://www.gutenberg.org/ebooks/15718,Reference
The Atlas of Ancient and Classical Geography,Samuel Butler,http://www.gutenberg.org/ebooks/17124,Reference
Music Notation and Terminology,Karl Wilson Gehrkens,http://www.gutenberg.org/ebooks/19499,Reference
Robert's Rules of Order,Henry M. Robert,http://www.gutenberg.org/ebooks/9097,Reference
"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg,http://www.gutenberg.org/ebooks/200,Reference
"The Jargon File, Version 4.2.2, 20 Aug 2000",Eric S. Raymond and Guy L. Steele,http://www.gutenberg.org/ebooks/3008,Reference
1001 Questions and Answers on Orthography and Reading,Benjamin Adams Hathaway,http://www.gutenberg.org/ebooks/14403,Reference
The Nuttall Encyclopædia,P. Austin Nuttall,http://www.gutenberg.org/ebooks/12342,Reference
The Foolish Dictionary,Gideon Wurdz,http://www.gutenberg.org/ebooks/1989,Reference
"Ten Thousand Dreams Interpreted; Or, What's in a Dream",Gustavus Hindman Miller,http://www.gutenberg.org/ebooks/926,Reference
"Barkham Burroughs' Encyclopaedia of Astounding Facts and Useful Information,",,http://www.gutenberg.org/ebooks/14091,Reference
"The Laws of Etiquette; Or, Short Rules and Reflections for Conduct in Society",,http://www.gutenberg.org/ebooks/5681,Reference
"Encyclopaedia Britannica, 11th Edition, ""Bulgaria"" to ""Calgary""",Various,http://www.gutenberg.org/ebooks/19846,Reference
"Character Sketches of Romance, Fiction and the Drama, Vol. 1",Brewer,http://www.gutenberg.org/ebooks/11431,Reference
"Character Sketches of Romance, Fiction and the Drama, Vol. 3",Brewer,http://www.gutenberg.org/ebooks/20851,Reference
"Encyclopaedia Britannica, 11th Edition, ""Bréquigny, Louis Georges Oudard Feudrix",,http://www.gutenberg.org/ebooks/19699,Reference
The Book of Good Manners; a Guide to Polite Usage for All Social Functions,Green,http://www.gutenberg.org/ebooks/5255,Reference
Routledge's Manual of Etiquette,George Routledge,http://www.gutenberg.org/ebooks/12426,Reference
Il Diavolo,Arturo Graf,http://www.gutenberg.org/ebooks/62579,IT
Linguaggio e proverbi marinareschi,Emanuele Celesia,http://www.gutenberg.org/ebooks/48070,IT
Avvenimenti faceti: Raccolti da un Anonimo Siciliano del secolo XVIII,Pitrè,http://www.gutenberg.org/ebooks/42649,IT
Le streghe,Defendente Sacchi,http://www.gutenberg.org/ebooks/60088,IT
Lusitania: Canti popolari portoghesi,Ettore Toci,http://www.gutenberg.org/ebooks/35802,IT
Giardino di Ricreatione,John Florio,http://www.gutenberg.org/ebooks/48530,IT
Storia comparata degli usi nuziali in Italia e presso gli altri popoli indo-,,http://www.gutenberg.org/ebooks/39988,IT
The Key of Gold: 23 Czech Folk Tales,Josef Baudiš,http://www.gutenberg.org/ebooks/20680,Czech
From a Terrace in Prague,B. Granville Baker,http://www.gutenberg.org/ebooks/22776,Czech
Independent Bohemia,Vladimir Nosek,http://www.gutenberg.org/ebooks/9650,Czech
Poèmes: Les bords de la route. Les Flamandes. Les Moines,Emile Verhaeren,http://www.gutenberg.org/ebooks/34008,FR
Les Heures Claires,Emile Verhaeren,http://www.gutenberg.org/ebooks/10061,FR
"Poèmes (nouvelle série): Les soirs, Les débacles, Les flambeaux noirs",Verhaeren,http://www.gutenberg.org/ebooks/52123,FR
"Les Villes tentaculaires, précédées des Campagnes hallucinées",Emile Verhaeren,http://www.gutenberg.org/ebooks/45590,FR
"Les Heures du Soir - Précédées de les Heures claires, Les Heures d'après-midi",,http://www.gutenberg.org/ebooks/45468,FR
Les Rythmes souverains: Poèmes,Emile Verhaeren,http://www.gutenberg.org/ebooks/35498,FR
Un hollandais à Paris en 1891: Sensations de littérature et d'art,Byvanck,http://www.gutenberg.org/ebooks/55855,FR
Lettres écrites de Lausanne,Isabelle de Charrière,http://www.gutenberg.org/ebooks/26818,FR
Le Mouvement littéraire Belge d'expression française depuis 1880,Albert Heumann,http://www.gutenberg.org/ebooks/34783,FR
"The Leardo Map of the World, 1452 or 1453",John Kirtland Wright,http://www.gutenberg.org/ebooks/53480,Maps
Woodcraft and Camping,George Washington Sears,http://www.gutenberg.org/ebooks/34607,Camping
Camp and Trail,Stewart Edward White,http://www.gutenberg.org/ebooks/32950,Camping
How to Camp Out,John Mead Gould,http://www.gutenberg.org/ebooks/17575,Camping
On the Trail: An Outdoor Book for Girls,Adelia B. Beard and Lina Beard,http://www.gutenberg.org/ebooks/18525,Camping
"The Scientific American Boy; Or, The Camp at Willow Clump Island",A. Russell Bond,http://www.gutenberg.org/ebooks/15831,Camping
Campward Ho! A Manual for Girl Scout Camps,,http://www.gutenberg.org/ebooks/33767,Camping
The 2010 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/35830,CIA
The 2000 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/3672,CIA
The 1997 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/1662,CIA
The 2002 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/6344,CIA
The 1990 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/14,CIA
The 2009 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/35829,CIA
The 2001 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27638,CIA
The 2006 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27509,CIA
The 2005 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27560,CIA
The 2003 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27558,CIA
The 2007 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27348,CIA
The 1991 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/25,CIA
The 2008 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/29233,CIA
The 1994 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/180,CIA
The 1993 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/87,CIA
The 1998 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/2016,CIA
The 1992 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/48,CIA
The 2004 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27559,CIA
The 1995 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/571,CIA
The 1999 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27676,CIA
The 1996 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/27675,CIA
The Golden Bough: A Study of Magic and Religion,James George Frazer,http://www.gutenberg.org/ebooks/3623,Anthropology
The Witch-cult in Western Europe: A Study in Anthropology,Margaret Alice Murray,http://www.gutenberg.org/ebooks/20411,Anthropology
Traditions of the Tinguian: a Study in Philippine Folk-Lore,Fay-Cooper Cole,http://www.gutenberg.org/ebooks/12545,Anthropology
"The Journal of Negro History, Volume 1, January 1916",Various,http://www.gutenberg.org/ebooks/13642,Anthropology
"The Prehistoric World; Or, Vanished Races",Emory Adams Allen,http://www.gutenberg.org/ebooks/2873,Anthropology
"The North American Indian, Vol. 1",Edward S. Curtis,http://www.gutenberg.org/ebooks/19449,Anthropology
The Evolution of Man,Ernst Haeckel,http://www.gutenberg.org/ebooks/8700,Anthropology
Anthropology,R. R. Marett,http://www.gutenberg.org/ebooks/17280,Anthropology
